,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arsenal,27,28.0,430,268,195,169,66,142,327,43.4,185,3458,1046,30.2,1014,1391,1053,412,109,0,303,372,802,477,12
Aston Villa,30,29.0,524,304,264,202,58,198,460,43.0,262,4036,1137,28.2,1426,1742,868,470,119,3,351,462,986,541,5
Brentford,28,30.0,560,330,270,207,83,209,498,42.0,289,4372,1269,29.0,1597,1838,937,491,98,3,393,488,1048,730,9
Brighton,25,29.0,566,350,254,225,87,194,454,42.7,260,4313,1400,32.5,1403,1721,1189,489,117,3,372,442,1008,561,10
Burnley,22,27.0,465,266,216,187,62,172,421,40.9,249,3899,1078,27.6,1215,1691,993,536,179,6,357,467,932,667,8
Chelsea,25,28.0,480,289,211,202,67,155,410,37.8,255,3989,1212,30.4,1241,1726,1022,422,88,5,334,434,914,594,8
Crystal Palace,24,29.0,567,338,288,215,64,192,427,45.0,235,4670,1401,30.0,1664,2054,952,480,116,0,364,430,997,645,6
Everton,32,27.0,576,350,284,217,75,228,530,43.0,302,4477,1364,30.5,1500,1964,1013,463,117,0,346,433,1009,545,7
Leeds United,29,30.0,650,360,332,237,81,283,647,43.7,364,5224,1580,30.2,1781,2258,1185,490,137,3,353,508,1158,595,11
Leicester City,25,27.0,542,302,263,213,66,193,481,40.1,288,4234,1220,28.8,1509,1880,845,461,131,4,330,400,942,605,11
Liverpool,27,29.0,422,265,144,194,84,139,401,34.7,262,4014,1281,31.9,963,1814,1237,361,74,4,287,430,852,476,6
Manchester City,25,29.0,387,252,131,173,83,149,383,38.9,234,3265,1047,32.1,720,1433,1112,308,55,2,253,321,708,359,5
Manchester Utd,25,29.0,481,284,251,172,58,186,442,42.1,256,3802,1114,29.3,1255,1696,851,432,122,2,310,416,897,618,7
Newcastle Utd,29,29.0,532,304,292,178,62,191,483,39.5,292,4095,1100,26.9,1554,1694,847,465,143,4,322,451,983,666,7
Norwich City,27,29.0,528,310,278,203,47,206,500,41.2,294,4626,1225,26.5,1787,1886,953,494,153,4,341,478,1006,630,5
Southampton,25,29.0,506,303,228,211,67,171,447,38.3,276,4366,1382,31.7,1382,1895,1089,450,104,4,346,516,1022,642,4
Tottenham,25,29.0,532,285,241,222,69,174,446,39.0,272,4348,1207,27.8,1611,1873,864,465,136,3,329,440,972,596,2
Watford,30,29.0,535,326,308,186,41,195,489,39.9,294,4422,1252,28.3,1590,1934,898,442,119,5,323,488,1023,715,4
West Ham,25,30.0,466,290,235,165,66,184,474,38.8,290,3881,1098,28.3,1367,1656,858,455,137,2,318,447,913,627,3
Wolves,24,30.0,579,363,331,194,54,204,506,40.3,302,4317,1293,30.0,1698,1853,766,472,114,3,358,458,1037,701,6
