,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
vs Arsenal,27,28.0,450,265,224,165,61,175,413,42.4,238,3932,1040,26.4,1400,1662,870,406,137,0,269,419,869,564,5
vs Aston Villa,30,29.0,501,315,245,194,62,160,399,40.1,239,3940,1183,30.0,1254,1756,930,376,102,0,274,400,901,611,4
vs Brentford,28,30.0,445,268,188,197,60,142,342,41.5,200,3701,1201,32.5,1094,1590,1017,463,110,6,353,456,901,722,7
vs Brighton,25,29.0,525,293,264,193,68,170,452,37.6,282,4605,1264,27.4,1707,1864,1034,534,125,3,409,493,1018,624,1
vs Burnley,22,27.0,361,209,169,145,47,129,342,37.7,213,3223,997,30.9,1120,1413,690,399,79,2,320,312,673,739,7
vs Chelsea,25,28.0,495,316,238,201,56,153,440,34.8,287,4928,1291,26.2,1589,2154,1185,463,135,1,328,496,991,561,5
vs Crystal Palace,24,29.0,654,377,286,277,91,217,518,41.9,301,4537,1382,30.5,1377,2018,1142,414,93,0,321,438,1092,559,10
vs Everton,32,27.0,491,276,220,205,66,174,412,42.2,238,3812,1195,31.3,1363,1612,837,434,118,2,316,418,909,575,5
vs Leeds United,29,30.0,577,324,273,230,74,246,530,46.4,284,4365,1405,32.2,1346,1831,1188,523,141,6,382,526,1103,616,9
vs Leicester City,25,27.0,472,288,199,195,78,171,415,41.2,244,4115,1161,28.2,1169,1899,1047,425,97,0,328,457,929,484,6
vs Liverpool,27,29.0,534,315,335,162,37,193,491,39.3,298,4590,1353,29.5,1863,1895,832,586,166,9,420,581,1115,755,12
vs Manchester City,25,29.0,528,329,334,161,33,196,515,38.1,319,4875,1082,22.2,2190,1911,774,540,171,5,369,462,990,612,10
vs Manchester Utd,25,29.0,524,327,251,187,86,206,511,40.3,305,4408,1367,31.0,1442,1929,1037,485,130,4,355,538,1062,494,6
vs Newcastle Utd,29,29.0,521,311,251,199,71,175,461,38.0,286,3743,1224,32.7,1320,1545,878,401,116,2,285,334,855,586,5
vs Norwich City,27,29.0,505,288,241,178,86,204,445,45.8,241,3954,1183,29.9,1192,1609,1153,399,104,1,295,403,908,486,5
vs Southampton,25,29.0,561,328,283,211,67,186,473,39.3,287,4489,1321,29.4,1497,1994,998,458,123,3,335,410,971,703,7
vs Tottenham,25,29.0,554,338,228,237,89,188,489,38.4,301,4437,1297,29.2,1381,2015,1041,466,114,6,352,492,1046,529,5
vs Watford,30,29.0,559,341,253,226,80,233,551,42.3,318,3896,1323,34.0,1251,1674,971,397,90,1,307,375,934,609,9
vs West Ham,25,30.0,507,296,275,174,58,195,414,47.1,219,3969,1148,28.9,1454,1656,859,471,124,7,347,412,919,661,8
vs Wolves,24,30.0,564,335,259,235,70,252,613,41.1,361,4289,1289,30.1,1268,1972,1049,418,93,2,325,459,1023,500,10
