,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
vs Arsenal,27,28.0,522,18.64,394,38,30,18,30,12,52,1.86,35,1,7,3,5,1
vs Aston Villa,30,29.0,573,19.76,410,48,31,30,37,17,63,2.17,43,2,2,6,8,2
vs Brentford,28,30.0,597,19.90,455,42,27,27,32,14,74,2.47,60,4,2,4,3,1
vs Brighton,25,29.0,541,18.66,393,41,32,31,29,15,59,2.03,38,6,4,7,3,1
vs Burnley,22,27.0,700,25.93,521,47,44,50,28,10,62,2.30,51,1,2,6,2,0
vs Chelsea,25,28.0,368,13.14,247,36,29,18,24,14,28,1.00,12,3,4,3,5,1
vs Crystal Palace,24,29.0,514,17.72,364,53,22,35,33,7,55,1.90,36,6,1,7,3,2
vs Everton,32,27.0,558,20.67,387,55,39,31,32,14,71,2.63,48,7,4,5,2,5
vs Leeds United,29,30.0,713,23.77,512,56,50,47,32,16,107,3.57,80,7,4,8,7,1
vs Leicester City,25,27.0,665,24.63,442,75,42,50,36,20,69,2.56,39,8,4,9,6,3
vs Liverpool,27,29.0,388,13.38,291,27,27,20,14,9,31,1.07,21,2,4,4,0,0
vs Manchester City,25,29.0,302,10.41,215,28,20,9,23,7,31,1.07,22,1,4,2,1,1
vs Manchester Utd,25,29.0,576,19.86,387,55,44,34,35,21,57,1.97,38,3,5,4,3,4
vs Newcastle Utd,29,29.0,657,22.66,476,55,35,50,33,8,82,2.83,58,5,3,9,6,1
vs Norwich City,27,29.0,694,23.93,498,66,38,38,36,18,97,3.34,73,3,4,8,7,2
vs Southampton,25,29.0,532,18.34,394,43,28,30,25,12,74,2.55,50,6,4,10,3,1
vs Tottenham,25,29.0,589,20.31,412,58,40,36,23,20,57,1.97,41,5,5,4,2,0
vs Watford,30,29.0,645,22.24,476,53,39,31,34,12,81,2.79,59,5,7,3,7,0
vs West Ham,25,30.0,636,21.20,498,45,26,35,22,10,61,2.03,42,3,2,8,3,3
vs Wolves,24,30.0,568,18.93,418,48,31,32,34,5,34,1.13,18,1,4,5,6,0
