,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Arsenal,2,28.0,44,2,1,8,1,45.3,0.32,+2.3,+0.08,215,477,45.1,867,109,40.4,37.4,207,61.4,48.1,198,8,4.0,30,1.07,15.7
vs Aston Villa,2,29.0,41,2,0,8,2,37.6,0.32,-1.4,-0.05,160,396,40.4,661,113,41.3,37.5,202,60.9,47.9,270,15,5.6,19,0.66,14.8
vs Brentford,3,30.0,33,6,0,5,1,36.3,0.31,+4.3,+0.14,182,504,36.1,724,107,53.0,43.6,173,69.4,51.6,253,28,11.1,28,0.93,15.9
vs Brighton,2,29.0,26,3,0,5,1,28.6,0.26,+3.6,+0.13,152,424,35.8,648,138,45.4,39.4,216,60.2,48.3,275,21,7.6,21,0.72,15.3
vs Burnley,2,27.0,22,0,1,3,2,21.9,0.28,+1.9,+0.07,156,454,34.4,831,148,41.2,37.7,187,59.9,47.3,276,25,9.1,24,0.89,15.4
vs Chelsea,2,28.0,57,7,1,8,1,50.4,0.33,-5.6,-0.20,184,452,40.7,750,126,44.7,39.5,194,60.3,47.9,228,20,8.8,22,0.79,14.2
vs Crystal Palace,2,29.0,39,4,1,3,0,34.5,0.31,-4.5,-0.15,193,455,42.4,684,97,50.7,40.6,184,58.7,46.5,250,16,6.4,21,0.72,15.3
vs Everton,2,27.0,29,3,0,4,1,26.6,0.26,-1.4,-0.05,131,333,39.3,669,143,34.5,35.9,193,52.8,45.9,214,17,7.9,18,0.67,14.0
vs Leeds United,2,30.0,34,4,1,6,0,34.4,0.26,+0.4,+0.01,197,478,41.2,805,144,38.5,37.5,255,65.9,49.8,255,19,7.5,26,0.87,15.5
vs Leicester City,1,27.0,42,2,1,4,0,41.0,0.34,-1.0,-0.04,152,373,40.8,671,127,41.4,37.5,162,58.6,46.6,156,9,5.8,19,0.70,14.9
vs Liverpool,2,29.0,75,6,0,16,0,70.1,0.34,-4.9,-0.17,216,633,34.1,804,135,54.7,42.8,259,74.5,55.2,285,24,8.4,30,1.03,13.8
vs Manchester City,2,29.0,68,6,0,12,2,64.9,0.32,-1.1,-0.04,227,614,37.0,833,131,50.9,40.9,293,64.8,48.8,281,17,6.0,12,0.41,12.0
vs Manchester Utd,1,29.0,48,2,0,3,1,40.3,0.28,-6.7,-0.23,186,518,35.9,739,114,51.7,41.3,217,62.7,49.6,230,18,7.8,18,0.62,14.2
vs Newcastle Utd,3,29.0,32,1,3,6,2,30.2,0.28,+0.2,+0.01,165,405,40.7,637,113,44.1,38.2,194,63.9,48.3,232,17,7.3,19,0.66,15.7
vs Norwich City,2,29.0,18,3,0,2,2,21.7,0.24,+5.7,+0.20,152,353,43.1,674,128,37.2,35.9,173,59.0,46.6,217,11,5.1,31,1.07,15.8
vs Southampton,3,29.0,36,3,2,5,2,38.4,0.27,+4.4,+0.15,211,477,44.2,781,99,46.5,40.6,196,58.2,48.0,232,12,5.2,25,0.86,14.8
vs Tottenham,1,29.0,47,3,1,2,6,47.2,0.32,+6.2,+0.21,153,430,35.6,704,133,45.9,39.9,180,59.4,45.6,214,17,7.9,20,0.69,14.4
vs Watford,2,29.0,29,1,0,5,0,30.7,0.28,+1.7,+0.06,132,343,38.5,690,117,36.4,35.3,195,47.2,41.4,222,25,11.3,21,0.72,15.8
vs West Ham,2,30.0,49,3,0,9,2,41.4,0.32,-5.6,-0.19,158,390,40.5,762,127,34.0,34.5,247,53.0,43.5,300,23,7.7,13,0.43,13.8
vs Wolves,1,30.0,31,1,1,4,2,29.8,0.28,+0.8,+0.03,131,356,36.8,667,119,40.5,37.3,180,47.8,43.1,201,14,7.0,29,0.97,16.3
