,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Arsenal,2,28,28,2520,28.0,44,1.57,133,90,68.4,8,3,17,7,25.0,5,2,3,0,60.0
vs Aston Villa,2,29,29,2610,29.0,41,1.41,112,73,65.2,15,3,11,6,20.7,2,2,0,0,0.0
vs Brentford,3,30,30,2700,30.0,33,1.10,100,73,73.0,16,6,8,10,33.3,6,6,0,0,0.0
vs Brighton,2,29,29,2610,29.0,26,0.90,97,72,76.3,10,12,7,11,37.9,4,3,1,0,25.0
vs Burnley,2,27,27,2430,27.0,22,0.81,77,56,71.4,12,12,3,13,48.1,0,0,0,0,
vs Chelsea,2,28,28,2520,28.0,57,2.04,137,84,63.5,3,8,17,3,10.7,8,7,1,0,12.5
vs Crystal Palace,2,29,29,2610,29.0,39,1.34,103,67,66.0,9,13,7,9,31.0,5,4,0,1,0.0
vs Everton,2,27,27,2430,27.0,29,1.07,91,66,71.4,16,4,7,10,37.0,4,3,0,1,0.0
vs Leeds United,2,30,30,2700,30.0,34,1.13,120,90,75.0,15,8,7,10,33.3,4,4,0,0,0.0
vs Leicester City,1,27,27,2430,27.0,42,1.56,118,73,66.1,11,6,10,5,18.5,2,2,0,0,0.0
vs Liverpool,2,29,29,2610,29.0,75,2.59,191,121,63.9,2,6,21,1,3.4,8,6,1,1,14.3
vs Manchester City,2,29,29,2610,29.0,68,2.34,185,124,66.5,3,4,22,4,13.8,7,6,1,0,14.3
vs Manchester Utd,1,29,29,2610,29.0,48,1.66,139,91,66.9,7,8,14,5,17.2,3,2,0,1,0.0
vs Newcastle Utd,3,29,29,2609,29.0,32,1.10,105,75,70.5,12,10,7,7,24.1,1,1,0,0,0.0
vs Norwich City,2,29,29,2610,29.0,18,0.62,80,66,81.3,20,5,4,16,55.2,3,3,0,0,0.0
vs Southampton,3,29,29,2610,29.0,36,1.24,134,103,75.4,10,11,8,6,20.7,3,3,0,0,0.0
vs Tottenham,1,29,29,2610,29.0,47,1.62,141,100,68.8,10,3,16,8,27.6,3,3,0,0,0.0
vs Watford,2,29,29,2610,29.0,29,1.00,106,76,73.6,19,4,6,14,48.3,3,1,2,0,66.7
vs West Ham,2,30,30,2700,30.0,49,1.63,117,71,60.7,10,6,14,6,20.0,5,3,2,0,40.0
vs Wolves,1,30,30,2700,30.0,31,1.03,107,79,72.0,12,4,14,13,43.3,1,1,0,0,0.0
