,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Arsenal,27,28.0,50,2,2,331,299,47,318,419,265,3,4,1,2128,497,427,53.8
vs Aston Villa,30,29.0,67,0,0,467,360,32,326,400,315,4,2,2,2392,499,460,52.0
vs Brentford,28,30.0,43,1,0,357,363,59,405,456,268,2,5,1,2957,680,670,50.4
vs Brighton,25,29.0,65,0,0,344,346,30,322,493,293,3,4,1,2390,480,482,49.9
vs Burnley,22,27.0,30,0,0,274,333,40,379,312,209,1,0,2,2767,650,722,47.4
vs Chelsea,25,28.0,59,2,1,398,347,55,290,496,316,3,7,1,2113,421,452,48.2
vs Crystal Palace,24,29.0,57,2,1,435,356,41,339,438,377,2,5,0,2513,502,565,47.0
vs Everton,32,27.0,48,0,0,340,310,26,298,418,276,1,4,1,2439,612,493,55.4
vs Leeds United,29,30.0,59,2,2,374,437,43,261,526,324,4,4,0,2545,502,414,54.8
vs Leicester City,25,27.0,42,0,0,364,305,58,349,457,288,5,2,0,2391,440,463,48.7
vs Liverpool,27,29.0,49,3,0,315,326,121,243,581,315,0,6,0,2395,412,477,46.3
vs Manchester City,25,29.0,51,3,2,345,291,71,190,462,329,1,7,2,1808,331,393,45.7
vs Manchester Utd,25,29.0,37,1,0,327,357,55,311,538,327,2,3,1,2360,389,496,44.0
vs Newcastle Utd,29,29.0,61,3,0,355,379,46,370,334,311,5,1,2,2619,578,616,48.4
vs Norwich City,27,29.0,52,2,1,405,346,39,389,403,288,8,3,2,2609,530,460,53.5
vs Southampton,25,29.0,56,1,1,352,387,52,372,410,328,2,3,2,2667,693,576,54.6
vs Tottenham,25,29.0,57,5,3,401,351,32,396,492,338,0,2,6,2297,422,496,46.0
vs Watford,30,29.0,54,1,1,308,415,48,419,375,341,4,2,0,2778,651,636,50.6
vs West Ham,25,30.0,37,2,0,294,284,28,381,412,296,2,5,2,2567,563,576,49.4
vs Wolves,24,30.0,76,3,3,358,361,66,396,459,335,4,1,2,2579,472,450,51.2
