,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,27,28.0,45,3,2,311,320,50,306,372,268,4,3,0,2321,427,497,46.2
Aston Villa,30,29.0,65,2,1,363,457,37,354,462,304,1,5,1,2315,460,499,48.0
Brentford,28,30.0,55,2,1,372,346,61,325,488,330,6,2,2,2829,670,680,49.6
Brighton,25,29.0,56,2,0,360,332,38,372,442,350,3,4,0,2590,482,480,50.1
Burnley,22,27.0,50,1,0,340,270,75,319,467,266,0,0,1,2475,722,650,52.6
Chelsea,25,28.0,48,1,0,359,390,54,347,434,289,6,4,1,2299,452,421,51.8
Crystal Palace,24,29.0,52,1,1,372,424,47,327,430,338,4,4,2,2518,565,502,53.0
Everton,32,27.0,57,3,1,323,334,47,302,433,350,4,1,4,2421,493,612,44.6
Leeds United,29,30.0,90,1,0,437,363,55,373,508,360,3,5,1,2590,414,502,45.2
Leicester City,25,27.0,37,1,0,312,353,51,229,400,302,1,7,1,2241,463,440,51.3
Liverpool,27,29.0,35,1,0,333,298,48,433,430,265,4,0,1,2907,477,412,53.7
Manchester City,25,29.0,35,1,0,300,335,54,467,321,252,5,1,0,2316,393,331,54.3
Manchester Utd,25,29.0,60,2,1,364,321,62,332,416,284,2,4,3,2460,496,389,56.0
Newcastle Utd,29,29.0,68,2,1,391,346,44,324,451,304,0,6,2,2289,616,578,51.6
Norwich City,27,29.0,47,1,1,356,398,47,295,478,310,2,10,2,2220,460,530,46.5
Southampton,25,29.0,54,2,1,400,344,30,338,516,303,3,1,1,2710,576,693,45.4
Tottenham,25,29.0,51,1,1,362,398,51,311,440,285,2,2,1,2273,496,422,54.0
Watford,30,29.0,53,2,2,427,302,38,295,488,326,2,4,3,2499,636,651,49.4
West Ham,25,30.0,41,2,2,293,279,47,405,447,290,3,2,1,2594,576,563,50.6
Wolves,24,30.0,51,2,2,369,343,53,300,458,363,1,5,1,2447,450,472,48.8
