,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,27,28.0,14063,12872,1191,294,24,1812,388,306,148,97,22,13,9953,1673,2437,5875,6680,511,494,181,11504,43,223,397,275
Aston Villa,30,29.0,12056,10663,1393,408,28,1650,381,354,148,85,33,12,7850,1507,2699,3997,6452,537,536,167,9347,33,244,374,273
Brentford,28,30.0,12359,10966,1393,357,21,1860,289,325,113,63,29,11,7023,1877,3459,3665,6453,860,619,214,8841,53,268,440,350
Brighton,25,29.0,16227,14921,1306,289,17,2135,449,372,157,63,70,5,11634,1869,2724,4030,10524,504,614,206,13212,36,245,473,413
Burnley,22,27.0,9754,8551,1203,255,20,1711,340,319,122,103,6,3,4672,1553,3529,2966,4821,673,552,165,6602,72,232,301,315
Chelsea,25,28.0,17085,15839,1246,343,42,2352,327,347,178,83,68,6,12897,1834,2354,3647,11936,506,529,174,14513,51,183,469,329
Crystal Palace,24,29.0,14107,12663,1444,399,16,1908,348,327,132,65,34,8,9378,1712,3017,3599,8652,589,640,214,11187,46,242,423,322
Everton,32,27.0,10554,9281,1273,295,16,1834,305,302,112,55,39,4,6237,1537,2780,2589,6302,538,580,148,7713,45,275,397,316
Leeds United,29,30.0,14312,12888,1424,336,21,2016,450,373,140,77,37,5,9529,2121,2662,5859,6795,505,629,278,11249,49,287,502,380
Leicester City,25,27.0,13348,12042,1306,345,22,2114,308,229,136,70,37,5,9325,1577,2446,3332,8482,522,523,145,10667,46,234,431,323
Liverpool,27,29.0,18616,17277,1339,350,52,2281,542,433,215,38,152,4,13253,2230,3133,4500,12322,648,583,241,15463,45,209,564,423
Manchester City,25,29.0,20905,19683,1222,310,53,2312,560,467,247,102,43,20,16572,1859,2474,7622,11812,521,500,184,18447,48,198,446,367
Manchester Utd,25,29.0,15150,13841,1309,298,36,2285,518,332,152,54,69,5,10721,1916,2513,4324,9264,490,558,176,12343,56,210,522,352
Newcastle Utd,29,29.0,10355,8994,1361,327,13,1684,363,324,132,68,44,12,5973,1549,2833,2368,6272,549,556,163,7619,37,224,319,287
Norwich City,27,29.0,12005,10583,1422,377,16,1820,398,295,127,64,56,3,7577,1613,2815,3607,6732,555,594,186,9188,40,233,385,300
Southampton,25,29.0,13130,11768,1362,319,20,2081,290,338,185,91,80,1,8528,1555,3047,2775,8525,655,575,163,9993,25,246,391,333
Tottenham,25,29.0,15359,14066,1293,330,48,1991,340,311,153,57,54,4,11366,1648,2345,3741,10067,507,531,161,12794,47,166,475,354
Watford,30,29.0,11038,9662,1376,305,13,1687,343,295,124,65,44,2,6150,1663,3225,3114,6045,654,629,148,8007,32,252,357,306
West Ham,25,30.0,13906,12580,1326,237,28,1957,410,405,161,107,40,3,8977,1854,3075,3522,8513,631,624,183,10833,41,266,390,350
Wolves,24,30.0,14653,13327,1326,347,22,2108,456,300,132,29,69,7,9956,1839,2858,4545,8402,547,578,237,11781,46,238,438,322
