,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,27,28.0,11504,14063,81.8,217132,65125,4848,5452,88.9,4965,5592,88.8,1459,2510,58.1,31,27.9,+3.1,309,822,260,60,857
Aston Villa,30,29.0,9347,12056,77.5,184510,65346,3738,4317,86.6,4027,4716,85.4,1406,2573,54.6,33,25.4,+7.6,254,703,237,58,855
Brentford,28,30.0,8841,12359,71.5,178030,66214,3419,4179,81.8,3835,4843,79.2,1420,2804,50.6,20,22.4,-2.4,210,678,198,61,804
Brighton,25,29.0,13212,16227,81.4,258631,76651,5147,5807,88.6,5987,6799,88.1,1858,3001,61.9,21,21.0,0.0,255,902,266,68,951
Burnley,22,27.0,6602,9754,67.7,138037,57982,2834,3454,82.0,2356,3104,75.9,1276,2749,46.4,17,17.3,-0.3,183,589,172,59,618
Chelsea,25,28.0,14513,17085,84.9,268002,81508,6199,6803,91.1,6389,7126,89.7,1666,2555,65.2,40,33.5,+6.5,287,1055,310,43,1129
Crystal Palace,24,29.0,11187,14107,79.3,218986,70329,4347,4962,87.6,5076,5891,86.2,1574,2743,57.4,25,24.0,+1.0,213,695,217,61,799
Everton,32,27.0,7713,10554,73.1,153135,57360,3174,3742,84.8,3118,3885,80.3,1206,2382,50.6,21,18.8,+2.2,223,612,190,57,691
Leeds United,29,30.0,11249,14312,78.6,219699,71945,4421,5086,86.9,4991,5757,86.7,1617,2859,56.6,22,26.0,-4.0,292,813,249,48,1045
Leicester City,25,27.0,10667,13348,79.9,199333,65888,4531,5144,88.1,4680,5364,87.2,1264,2324,54.4,31,24.7,+6.3,215,612,183,26,783
Liverpool,27,29.0,15463,18616,83.1,305469,98072,5979,6687,89.4,6999,7924,88.3,2275,3376,67.4,55,47.9,+7.1,385,1349,395,64,1496
Manchester City,25,29.0,18447,20905,88.2,349826,91041,7681,8288,92.7,8191,8902,92.0,2377,3191,74.5,40,44.2,-4.2,391,1531,427,59,1341
Manchester Utd,25,29.0,12343,15150,81.5,233894,70973,5325,6035,88.2,5104,5848,87.3,1687,2669,63.2,40,33.8,+6.2,325,968,250,57,1018
Newcastle Utd,29,29.0,7619,10355,73.6,158034,60612,3044,3639,83.6,3024,3703,81.7,1362,2543,53.6,19,19.4,-0.4,237,567,165,52,567
Norwich City,27,29.0,9188,12005,76.5,187730,63220,3549,4097,86.6,3928,4665,84.2,1570,2797,56.1,12,15.7,-3.7,191,560,179,42,708
Southampton,25,29.0,9993,13130,76.1,186596,64013,4418,5129,86.1,4213,5083,82.9,1175,2415,48.7,22,27.2,-5.2,280,754,208,47,844
Tottenham,25,29.0,12794,15359,83.3,240906,74332,5431,6015,90.3,5560,6289,88.4,1595,2495,63.9,34,37.1,-3.1,283,914,275,53,1022
Watford,30,29.0,8007,11038,72.5,167235,63330,3059,3657,83.6,3386,4182,81.0,1407,2741,51.3,23,22.9,+0.1,239,598,172,53,708
West Ham,25,30.0,10833,13906,77.9,213479,72005,4456,5080,87.7,4531,5373,84.3,1660,2921,56.8,40,30.4,+9.6,263,806,246,75,898
Wolves,24,30.0,11781,14653,80.4,239941,74437,4332,4949,87.5,5312,6057,87.7,1974,3150,62.7,18,19.7,-1.7,227,814,171,45,847
