,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
vs Arsenal,27,28.0,10730,13349,80.4,209256,68832,4327,4877,88.7,4705,5399,87.1,1512,2609,58.0,22,24.3,-2.3,236,725,215,53,771
vs Aston Villa,30,29.0,11447,14244,80.4,232009,71557,4267,4869,87.6,5166,5941,87.0,1821,2916,62.4,26,24.4,+1.6,264,833,225,53,885
vs Brentford,28,30.0,12274,15655,78.4,235606,74610,5188,5944,87.3,5113,5979,85.5,1752,3151,55.6,36,27.6,+8.4,274,996,282,76,994
vs Brighton,25,29.0,9663,12459,77.6,184483,64409,4118,4729,87.1,4016,4741,84.7,1337,2439,54.8,29,24.8,+4.2,251,674,200,44,776
vs Burnley,22,27.0,12110,15250,79.4,229893,72155,5237,5952,88.0,5120,5961,85.9,1560,2800,55.7,27,28.2,-1.2,322,804,310,60,1004
vs Chelsea,25,28.0,8906,11610,76.7,173503,59144,3727,4332,86.0,3690,4354,84.7,1317,2416,54.5,11,14.8,-3.8,166,608,178,46,668
vs Crystal Palace,24,29.0,10975,13937,78.7,216647,70786,4485,5143,87.2,4622,5369,86.1,1659,2876,57.7,23,21.5,+1.5,230,924,245,69,937
vs Everton,32,27.0,12170,14930,81.5,239142,75595,4665,5290,88.2,5566,6288,88.5,1749,2782,62.9,34,29.5,+4.5,257,913,235,55,1010
vs Leeds United,29,30.0,9451,12365,76.4,186099,73210,3872,4510,85.9,3970,4762,83.4,1422,2527,56.3,50,37.0,+13.0,327,660,242,55,842
vs Leicester City,25,27.0,10727,13442,79.8,212976,68723,4184,4800,87.2,4663,5397,86.4,1676,2711,61.8,30,29.7,+0.3,305,802,277,60,967
vs Liverpool,27,29.0,8454,11519,73.4,167227,61141,3633,4264,85.2,3329,4117,80.9,1322,2674,49.4,13,22.0,-9.0,183,555,151,39,600
vs Manchester City,25,29.0,7534,9906,76.1,150981,54049,2956,3411,86.7,3327,3908,85.1,1123,2226,50.4,15,15.9,-0.9,146,430,130,30,494
vs Manchester Utd,25,29.0,11047,13881,79.6,212563,67540,4632,5196,89.1,4684,5441,86.1,1536,2686,57.2,30,27.9,+2.1,269,784,219,47,874
vs Newcastle Utd,29,29.0,13039,15887,82.1,248535,76617,5480,6114,89.6,5714,6513,87.7,1665,2767,60.2,33,29.1,+3.9,299,1122,270,46,1116
vs Norwich City,27,29.0,13054,15947,81.9,252203,78592,5392,6016,89.6,5615,6447,87.1,1840,2931,62.8,43,36.2,+6.8,325,1058,295,50,1087
vs Southampton,25,29.0,10335,13482,76.7,206709,74089,4122,4866,84.7,4443,5313,83.6,1584,2775,57.1,35,32.0,+3.0,251,777,243,59,918
vs Tottenham,25,29.0,11681,14320,81.6,232341,68730,4441,4996,88.9,5236,5919,88.5,1796,2891,62.1,27,22.9,+4.1,277,844,226,49,866
vs Watford,30,29.0,12972,16137,80.4,255006,80864,5104,5867,87.0,5747,6596,87.1,1892,3110,60.8,38,36.2,+1.8,308,1012,304,68,1176
vs West Ham,25,30.0,12604,15566,81.0,243118,76587,5043,5671,88.9,5661,6520,86.8,1690,2825,59.8,28,26.3,+1.7,303,956,271,69,991
vs Wolves,24,30.0,12130,15096,80.4,230308,73153,5059,5675,89.1,5285,6138,86.1,1575,2686,58.6,14,28.8,-14.8,269,865,252,60,1005
