,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,27,25.2,28,2520,90,100,28.0,308,85,224,81,16,171,1.93,44,31,+13,+0.46,43.1,34.2,+9.0,+0.32
Aston Villa,30,26.7,29,2610,90,100,29.0,319,85,232,86,19,175,1.24,41,40,+1,+0.03,32.6,36.6,-4.0,-0.14
Brentford,28,26.1,30,2700,90,100,30.0,330,83,239,91,23,174,1.00,33,47,-14,-0.47,35.4,39.3,-3.9,-0.13
Brighton,25,27.0,29,2610,90,100,29.0,319,84,235,84,24,177,1.14,26,36,-10,-0.34,31.0,37.3,-6.3,-0.22
Burnley,22,29.4,27,2430,90,100,27.0,297,86,231,65,19,176,0.78,22,38,-16,-0.59,23.9,39.2,-15.4,-0.57
Chelsea,25,28.0,28,2520,90,100,28.0,308,84,226,81,22,167,2.11,57,19,+38,+1.36,46.7,24.8,+21.9,+0.78
Crystal Palace,24,27.8,29,2610,90,100,29.0,319,86,237,81,17,175,1.17,39,38,+1,+0.03,34.9,34.2,+0.7,+0.02
Everton,32,27.7,27,2430,90,100,27.0,297,85,224,71,21,167,0.93,29,47,-18,-0.67,29.6,39.3,-9.7,-0.36
Leeds United,29,26.7,30,2700,90,100,30.0,330,82,249,83,30,186,0.97,34,67,-33,-1.10,39.4,55.0,-15.7,-0.52
Leicester City,25,27.2,27,2430,90,100,27.0,297,83,218,78,24,165,1.33,42,46,-4,-0.15,37.8,46.3,-8.5,-0.31
Liverpool,27,28.4,29,2610,90,100,29.0,319,85,234,84,17,177,2.38,75,20,+55,+1.90,72.0,27.6,+44.4,+1.53
Manchester City,25,27.7,29,2610,90,100,29.0,319,87,261,57,18,202,2.41,68,18,+50,+1.72,66.9,21.2,+45.7,+1.58
Manchester Utd,25,27.9,29,2610,90,100,29.0,319,85,231,87,18,173,1.72,48,40,+8,+0.28,44.8,41.3,+3.5,+0.12
Newcastle Utd,29,28.3,29,2610,90,100,29.0,319,85,238,80,18,180,1.07,32,49,-17,-0.59,28.6,42.5,-14.0,-0.48
Norwich City,27,26.7,29,2610,90,100,29.0,319,84,231,87,20,173,0.59,18,63,-45,-1.55,24.7,55.5,-30.8,-1.06
Southampton,25,26.3,29,2610,90,100,29.0,319,85,235,83,18,178,1.21,36,45,-9,-0.31,39.2,41.4,-2.2,-0.07
Tottenham,25,27.2,29,2610,90,100,29.0,319,85,237,81,19,180,1.76,47,36,+11,+0.38,48.5,32.5,+16.0,+0.55
Watford,30,29.1,29,2610,90,100,29.0,319,84,233,84,24,176,0.76,29,55,-26,-0.90,30.8,49.6,-18.7,-0.65
West Ham,25,28.8,30,2700,90,100,30.0,330,86,255,73,16,197,1.60,49,39,+10,+0.33,40.8,38.6,+2.2,+0.07
Wolves,24,28.0,30,2700,90,100,30.0,330,86,245,84,14,182,1.53,31,26,+5,+0.17,28.7,42.9,-14.3,-0.48
