,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Arsenal,27,27.6,28,2520,90,100,28.0,308,85,231,76,21,176,1.93,31,44,-13,-0.46,34.2,43.1,-9.0,-0.32
vs Aston Villa,30,27.4,29,2610,90,100,29.0,319,85,238,81,20,178,1.24,40,41,-1,-0.03,36.6,32.6,+4.0,+0.14
vs Brentford,28,27.5,30,2700,90,100,30.0,330,86,260,69,19,199,1.00,47,33,+14,+0.47,39.3,35.4,+3.9,+0.13
vs Brighton,25,27.6,29,2610,90,100,29.0,319,85,238,82,20,176,1.14,36,26,+10,+0.34,37.3,31.0,+6.3,+0.22
vs Burnley,22,27.4,27,2430,90,100,27.0,297,86,226,71,17,171,0.78,38,22,+16,+0.59,39.2,23.9,+15.4,+0.57
vs Chelsea,25,27.4,28,2520,90,100,28.0,308,85,226,80,21,169,2.11,19,57,-38,-1.36,24.8,46.7,-21.9,-0.78
vs Crystal Palace,24,27.6,29,2610,90,100,29.0,319,85,239,79,20,181,1.17,38,39,-1,-0.03,34.2,34.9,-0.7,-0.02
vs Everton,32,27.4,27,2430,90,100,27.0,297,85,218,80,18,162,0.93,47,29,+18,+0.67,39.3,29.6,+9.7,+0.36
vs Leeds United,29,27.7,30,2700,90,100,30.0,330,85,238,90,17,180,0.97,67,34,+33,+1.10,55.0,39.4,+15.7,+0.52
vs Leicester City,25,27.5,27,2430,90,100,27.0,297,85,221,76,19,167,1.33,46,42,+4,+0.15,46.3,37.8,+8.5,+0.31
vs Liverpool,27,27.4,29,2610,90,100,29.0,319,84,237,82,23,179,2.38,20,75,-55,-1.90,27.6,72.0,-44.4,-1.53
vs Manchester City,25,27.5,29,2610,90,100,29.0,319,83,232,84,24,174,2.41,18,68,-50,-1.72,21.2,66.9,-45.7,-1.58
vs Manchester Utd,25,27.7,29,2610,90,100,29.0,319,85,241,77,20,181,1.72,40,48,-8,-0.28,41.3,44.8,-3.5,-0.12
vs Newcastle Utd,29,27.4,29,2610,90,100,29.0,319,84,234,82,20,179,1.07,49,32,+17,+0.59,42.5,28.6,+14.0,+0.48
vs Norwich City,27,27.4,29,2610,90,100,29.0,319,84,232,85,21,174,0.59,63,18,+45,+1.55,55.5,24.7,+30.8,+1.06
vs Southampton,25,27.6,29,2610,90,100,29.0,319,85,236,82,19,179,1.21,45,36,+9,+0.31,41.4,39.2,+2.2,+0.07
vs Tottenham,25,27.7,29,2610,90,100,29.0,319,85,236,80,16,179,1.76,36,47,-11,-0.38,32.5,48.5,-16.0,-0.55
vs Watford,30,27.5,29,2610,90,100,29.0,319,86,242,77,18,183,0.76,55,29,+26,+0.90,49.6,30.8,+18.7,+0.65
vs West Ham,25,27.6,30,2700,90,100,30.0,330,85,248,81,21,185,1.60,39,49,-10,-0.33,38.6,40.8,-2.2,-0.07
vs Wolves,24,27.2,30,2700,90,100,30.0,330,84,242,87,23,179,1.53,26,31,-5,-0.17,42.9,28.7,+14.3,+0.48
