,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Arsenal,27,51.8,28.0,17189,1860,5590,7795,4856,802,16033,228,414,55.1,238,17,11290,59116,33310,1322,382,152,362,276,13271,11504,86.7,857
Aston Villa,30,46.2,29.0,15465,1932,5452,6784,4129,666,14114,220,399,55.1,239,23,9456,49103,26259,999,299,108,380,343,11279,9347,82.9,855
Brentford,28,44.2,30.0,15914,2397,6335,6703,3644,636,14556,185,342,54.1,200,23,8512,41709,22003,788,229,73,341,303,11427,8841,77.4,804
Brighton,25,57.0,29.0,19705,2207,6945,8383,5561,735,18419,263,453,58.1,282,25,12831,63623,33583,1257,369,107,347,355,15281,13212,86.5,951
Burnley,22,38.9,27.0,12948,1757,4278,5811,3473,471,11771,191,344,55.5,213,9,6592,33556,15800,612,229,50,317,232,8712,6602,75.8,618
Chelsea,25,60.1,28.0,20425,1892,6318,9663,5687,826,19207,266,441,60.3,287,18,13871,66182,36484,1549,469,185,323,342,16498,14513,88.0,1129
Crystal Palace,24,50.4,29.0,17813,2305,6696,8098,4039,644,16407,282,518,54.4,301,24,11141,55350,28790,1069,321,120,400,437,13219,11187,84.6,799
Everton,32,41.6,27.0,13932,1734,4743,6175,3811,570,12699,218,414,52.7,238,22,7965,42988,22322,864,280,99,345,318,9785,7713,78.8,691
Leeds United,29,54.3,30.0,18050,2272,7081,7763,4375,709,16667,259,531,48.8,284,29,11335,61837,34721,1204,330,135,374,331,13458,11249,83.6,1045
Leicester City,25,50.1,27.0,16678,2192,6384,7585,3573,590,15408,218,415,52.5,244,18,10397,47220,24719,947,282,106,335,301,12620,10667,84.5,783
Liverpool,27,62.3,29.0,21967,1763,5748,10798,6687,1164,20647,274,491,55.8,298,25,14545,67685,38015,1748,514,203,379,341,17959,15463,86.1,1496
Manchester City,25,68.4,29.0,23805,1547,5192,12190,8066,1267,22613,296,518,57.1,319,26,17648,90990,52004,2502,634,293,288,332,20178,18447,91.4,1341
Manchester Utd,25,52.9,29.0,18514,1803,5714,8852,5118,745,17230,280,511,54.8,305,33,11716,62731,35334,1476,443,162,298,318,14496,12343,85.1,1018
Newcastle Utd,29,39.8,29.0,13865,1924,5335,5739,3614,638,12519,255,462,55.2,286,15,7912,41992,22442,829,264,109,365,346,9399,7619,81.1,567
Norwich City,27,43.0,29.0,15477,2345,6493,6475,3422,524,14091,218,445,49.0,241,17,8933,47349,25247,869,274,81,331,302,11355,9188,80.9,708
Southampton,25,49.6,29.0,16727,1785,5159,7871,4741,731,15387,258,474,54.4,287,13,10125,56030,30021,1253,403,156,359,375,12202,9993,81.9,844
Tottenham,25,51.7,29.0,18824,1965,6134,9185,4677,718,17579,280,492,56.9,301,23,12372,63836,34802,1458,431,144,343,366,14693,12794,87.1,1022
Watford,30,40.9,29.0,14592,2022,5667,6228,3538,532,13238,298,552,54.0,318,48,8094,42065,23226,825,272,125,369,326,10058,8007,79.6,708
West Ham,25,47.4,30.0,17294,1930,5574,7991,4786,743,15978,194,415,46.7,219,32,10590,56863,28268,1153,375,125,348,312,13014,10833,83.2,898
Wolves,24,49.6,30.0,18291,2211,6826,8292,4241,603,17003,325,613,53.0,361,40,11731,57048,31739,1235,366,141,357,312,13752,11781,85.7,847
