,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
vs Arsenal,27,48.2,28.0,16433,2176,5935,7334,4074,618,15171,167,328,50.9,185,4,10479,49605,26153,1042,342,113,340,288,12490,10730,85.9,771
vs Aston Villa,30,53.8,29.0,17557,1938,6115,7946,4577,711,16208,237,461,51.4,262,24,11015,57201,32152,1217,371,160,330,326,13523,11447,84.6,885
vs Brentford,28,55.8,30.0,19284,1853,5634,9028,5746,742,17908,269,498,54.0,289,25,12367,60111,30777,1410,502,140,381,351,14693,12274,83.5,994
vs Brighton,25,43.0,29.0,16070,1934,5979,6549,4453,673,14808,239,456,52.4,260,21,9655,49138,26123,1017,316,143,351,373,11509,9663,84.0,776
vs Burnley,22,61.1,27.0,18503,1950,6431,8196,4970,864,17157,228,421,54.2,249,27,11796,62284,34913,1400,382,187,324,293,14229,12110,85.1,1004
vs Chelsea,25,39.9,28.0,14841,2071,5423,6527,3743,531,13583,240,411,58.4,255,25,8828,43741,22849,873,257,90,326,325,10947,8906,81.4,668
vs Crystal Palace,24,49.6,29.0,17464,1811,5397,8225,4852,702,16142,216,427,50.6,235,24,10715,53944,28585,1195,329,101,380,376,13045,10975,84.1,937
vs Everton,32,58.4,27.0,18330,1768,5981,8868,4598,650,17040,276,531,52.0,302,29,11585,58619,32428,1268,371,113,359,348,14113,12170,86.2,1010
vs Leeds United,29,45.7,30.0,16272,2049,5906,7101,4331,788,14817,334,648,51.5,364,38,9569,55573,30832,1124,345,162,383,367,11692,9451,80.8,842
vs Leicester City,25,49.9,27.0,16724,1671,5210,7779,4764,857,15510,263,481,54.7,288,22,10456,54061,29551,1225,396,141,324,349,12635,10727,84.9,967
vs Liverpool,27,37.7,29.0,15131,2682,6794,6134,2903,480,13866,241,405,59.5,262,19,8436,40495,21290,722,190,101,361,284,10857,8454,77.9,600
vs Manchester City,25,31.6,29.0,13060,2774,6373,5078,2265,390,11946,205,384,53.4,234,21,7385,36783,18708,609,173,72,299,239,9313,7534,80.9,494
vs Manchester Utd,25,47.1,29.0,17270,2033,5640,8198,4403,675,15990,238,442,53.8,256,18,10725,53843,29045,1146,342,121,346,295,13272,11047,83.2,874
vs Newcastle Utd,29,60.2,29.0,19247,1804,5559,9302,5674,799,17969,269,484,55.6,292,26,12524,66121,37030,1581,479,148,340,341,15172,13039,85.9,1116
vs Norwich City,27,57.0,29.0,19203,1682,5584,9097,5738,953,17944,272,501,54.3,294,28,12525,66086,36406,1553,410,185,340,322,15100,13054,86.5,1087
vs Southampton,25,50.4,29.0,17090,2115,6072,7402,4506,684,15740,256,447,57.3,276,24,10233,50666,26232,1022,319,125,405,336,12627,10335,81.8,918
vs Tottenham,25,48.3,29.0,17783,1909,5553,8323,4976,726,16559,252,448,56.3,272,32,11797,56778,29510,1244,361,136,333,358,13346,11681,87.5,866
vs Watford,30,59.1,29.0,19622,1732,6143,9426,5262,890,18214,269,489,55.0,294,21,12692,63005,35113,1435,420,142,337,340,15131,12972,85.7,1176
vs West Ham,25,52.6,30.0,19070,2123,6389,8815,5102,814,17793,263,474,55.5,290,28,12396,67120,37462,1478,448,158,361,282,14675,12604,85.9,991
vs Wolves,24,50.4,30.0,18521,1768,5546,9053,5101,767,17201,274,508,53.9,302,24,11878,62099,33930,1398,413,136,341,375,14287,12130,84.9,1005
