,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arsenal,27,28.0,31,324,108,33.3,11.57,3.86,0.09,0.26,17.2,14,3,3,34.2,31.9,0.10,-3.2,-3.9
vs Aston Villa,30,29.0,39,357,108,30.3,12.31,3.72,0.10,0.33,16.9,17,3,5,36.6,32.8,0.09,+2.4,+3.2
vs Brentford,28,30.0,45,394,142,36.0,13.13,4.73,0.11,0.30,17.3,17,2,2,39.3,37.7,0.10,+5.7,+5.3
vs Brighton,25,29.0,36,358,119,33.2,12.34,4.10,0.09,0.28,17.8,15,3,4,37.3,34.3,0.10,-1.3,-1.3
vs Burnley,22,27.0,37,436,118,27.1,16.15,4.37,0.08,0.31,16.9,13,1,1,39.2,38.4,0.09,-2.2,-2.4
vs Chelsea,25,28.0,18,250,80,32.0,8.93,2.86,0.05,0.16,17.8,8,5,5,24.8,21.5,0.09,-6.8,-8.5
vs Crystal Palace,24,29.0,36,348,110,31.6,12.00,3.79,0.09,0.30,17.1,15,3,4,34.2,31.2,0.09,+1.8,+1.8
vs Everton,32,27.0,43,367,132,36.0,13.59,4.89,0.11,0.32,16.9,15,1,1,39.3,38.5,0.11,+3.7,+3.5
vs Leeds United,29,30.0,66,452,177,39.2,15.07,5.90,0.13,0.34,16.9,19,5,5,55.0,51.3,0.12,+11.0,+9.7
vs Leicester City,25,27.0,45,424,133,31.4,15.70,4.93,0.09,0.29,15.7,11,6,7,46.3,41.1,0.10,-1.3,-2.1
vs Liverpool,27,29.0,19,242,81,33.5,8.34,2.79,0.08,0.23,16.4,9,0,0,27.6,27.6,0.12,-8.6,-8.6
vs Manchester City,25,29.0,18,192,66,34.4,6.62,2.28,0.09,0.26,16.9,7,1,1,21.2,20.4,0.11,-3.2,-3.4
vs Manchester Utd,25,29.0,37,391,138,35.3,13.48,4.76,0.09,0.25,17.1,11,2,4,41.3,38.3,0.10,-4.3,-3.3
vs Newcastle Utd,29,29.0,47,411,122,29.7,14.17,4.21,0.10,0.34,17.0,17,5,6,42.5,38.6,0.10,+4.5,+3.4
vs Norwich City,27,29.0,61,452,155,34.3,15.59,5.34,0.12,0.34,16.4,12,8,10,55.5,48.0,0.11,+5.5,+5.0
vs Southampton,25,29.0,44,343,125,36.4,11.83,4.31,0.12,0.34,15.7,9,2,2,41.4,40.1,0.12,+2.6,+1.9
vs Tottenham,25,29.0,35,387,109,28.2,13.34,3.76,0.09,0.30,16.6,7,2,2,32.5,31.0,0.08,+2.5,+2.0
vs Watford,30,29.0,52,412,130,31.6,14.21,4.48,0.12,0.38,16.1,14,3,4,49.6,46.5,0.12,+2.4,+2.5
vs West Ham,25,30.0,38,413,122,29.5,13.77,4.07,0.09,0.30,16.6,9,2,3,38.6,36.3,0.09,-0.6,-0.3
vs Wolves,24,30.0,25,375,118,31.5,12.50,3.93,0.05,0.17,16.8,18,5,5,42.9,39.1,0.11,-17.9,-19.1
