,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,27,25.2,51.8,28,308,2520,28.0,43,31,41,2,5,45,3,1.54,1.11,2.64,1.46,2.57,43.1,39.5,27.9,67.4,1.54,1.00,2.54,1.41,2.41
Aston Villa,30,26.7,46.2,29,319,2610,29.0,39,33,37,2,2,65,2,1.34,1.14,2.48,1.28,2.41,32.6,31.2,25.4,56.6,1.12,0.88,2.00,1.08,1.95
Brentford,28,26.1,44.2,30,330,2700,30.0,32,20,26,6,6,55,2,1.07,0.67,1.73,0.87,1.53,35.4,30.8,22.4,53.2,1.18,0.75,1.93,1.03,1.77
Brighton,25,27.0,57.0,29,319,2610,29.0,25,21,22,3,4,56,2,0.86,0.72,1.59,0.76,1.48,31.0,28.0,21.0,49.0,1.07,0.72,1.79,0.97,1.69
Burnley,22,29.4,38.9,27,297,2430,27.0,20,17,20,0,0,50,1,0.74,0.63,1.37,0.74,1.37,23.9,23.9,17.3,41.2,0.88,0.64,1.53,0.88,1.53
Chelsea,25,28.0,60.1,28,308,2520,28.0,56,40,49,7,7,48,1,2.00,1.43,3.43,1.75,3.18,46.7,41.7,33.5,75.2,1.67,1.20,2.87,1.49,2.69
Crystal Palace,24,27.8,50.4,29,319,2610,29.0,39,25,35,4,5,52,1,1.34,0.86,2.21,1.21,2.07,34.9,31.2,24.0,55.2,1.20,0.83,2.03,1.07,1.90
Everton,32,27.7,41.6,27,297,2430,27.0,28,21,25,3,4,57,3,1.04,0.78,1.81,0.93,1.70,29.6,26.6,18.8,45.4,1.10,0.70,1.79,0.99,1.68
Leeds United,29,26.7,54.3,30,330,2700,30.0,34,22,30,4,4,90,1,1.13,0.73,1.87,1.00,1.73,39.4,36.4,26.0,62.4,1.31,0.87,2.18,1.21,2.08
Leicester City,25,27.2,50.1,27,297,2430,27.0,42,31,40,2,2,37,1,1.56,1.15,2.70,1.48,2.63,37.8,36.3,24.7,61.0,1.40,0.91,2.31,1.34,2.26
Liverpool,27,28.4,62.3,29,319,2610,29.0,75,55,69,6,7,35,1,2.59,1.90,4.48,2.38,4.28,72.0,66.9,47.9,114.8,2.48,1.65,4.13,2.31,3.96
Manchester City,25,27.7,68.4,29,319,2610,29.0,66,40,60,6,7,35,1,2.28,1.38,3.66,2.07,3.45,66.9,61.4,44.2,105.6,2.31,1.52,3.83,2.12,3.64
Manchester Utd,25,27.9,52.9,29,319,2610,29.0,47,40,45,2,3,60,2,1.62,1.38,3.00,1.55,2.93,44.8,42.5,33.8,76.3,1.54,1.16,2.71,1.47,2.63
Newcastle Utd,29,28.3,39.8,29,319,2610,29.0,30,19,29,1,1,68,2,1.03,0.66,1.69,1.00,1.66,28.6,27.8,19.4,47.2,0.99,0.67,1.65,0.96,1.63
Norwich City,27,26.7,43.0,29,319,2610,29.0,16,12,13,3,3,47,1,0.55,0.41,0.97,0.45,0.86,24.7,22.5,15.7,38.2,0.85,0.54,1.40,0.77,1.32
Southampton,25,26.3,49.6,29,319,2610,29.0,34,22,31,3,3,54,2,1.17,0.76,1.93,1.07,1.83,39.2,36.9,27.2,64.2,1.35,0.94,2.29,1.27,2.21
Tottenham,25,27.2,51.7,29,319,2610,29.0,41,34,38,3,3,51,1,1.41,1.17,2.59,1.31,2.48,48.5,46.3,37.1,83.4,1.67,1.28,2.95,1.59,2.87
Watford,30,29.1,40.9,29,319,2610,29.0,29,23,28,1,2,53,2,1.00,0.79,1.79,0.97,1.76,30.8,29.3,22.9,52.2,1.06,0.79,1.85,1.01,1.80
West Ham,25,28.8,47.4,30,330,2700,30.0,47,40,44,3,5,41,2,1.57,1.33,2.90,1.47,2.80,40.8,37.4,30.4,67.8,1.36,1.01,2.37,1.25,2.26
Wolves,24,28.0,49.6,30,330,2700,30.0,29,18,28,1,1,51,2,0.97,0.60,1.57,0.93,1.53,28.7,28.1,19.7,47.8,0.96,0.66,1.61,0.94,1.59
