,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
vs Arsenal,27,27.6,48.2,28,308,2520,28.0,31,22,28,3,3,50,2,1.11,0.79,1.89,1.00,1.79,34.2,31.9,24.3,56.3,1.22,0.87,2.09,1.14,2.01
vs Aston Villa,30,27.4,53.8,29,319,2610,29.0,39,26,36,3,5,67,0,1.34,0.90,2.24,1.24,2.14,36.6,32.8,24.4,57.2,1.26,0.84,2.10,1.13,1.97
vs Brentford,28,27.5,55.8,30,330,2700,30.0,45,36,43,2,2,43,1,1.50,1.20,2.70,1.43,2.63,39.3,37.7,27.6,65.4,1.31,0.92,2.23,1.26,2.18
vs Brighton,25,27.6,43.0,29,319,2610,29.0,36,29,33,3,4,65,0,1.24,1.00,2.24,1.14,2.14,37.3,34.3,24.8,59.2,1.29,0.86,2.14,1.18,2.04
vs Burnley,22,27.4,61.1,27,297,2430,27.0,37,27,36,1,1,30,0,1.37,1.00,2.37,1.33,2.33,39.2,38.4,28.2,66.6,1.45,1.04,2.50,1.42,2.47
vs Chelsea,25,27.4,39.9,28,308,2520,28.0,18,11,13,5,5,59,2,0.64,0.39,1.04,0.46,0.86,24.8,21.5,14.8,36.3,0.89,0.53,1.41,0.77,1.30
vs Crystal Palace,24,27.6,49.6,29,319,2610,29.0,36,23,33,3,4,57,2,1.24,0.79,2.03,1.14,1.93,34.2,31.2,21.5,52.8,1.18,0.74,1.92,1.08,1.82
vs Everton,32,27.4,58.4,27,297,2430,27.0,43,34,42,1,1,48,0,1.59,1.26,2.85,1.56,2.81,39.3,38.5,29.5,68.0,1.45,1.09,2.55,1.43,2.52
vs Leeds United,29,27.7,45.7,30,330,2700,30.0,66,50,61,5,5,59,2,2.20,1.67,3.87,2.03,3.70,55.0,51.3,37.0,88.3,1.83,1.23,3.07,1.71,2.94
vs Leicester City,25,27.5,49.9,27,297,2430,27.0,45,30,39,6,7,42,0,1.67,1.11,2.78,1.44,2.56,46.3,41.1,29.7,70.9,1.71,1.10,2.82,1.52,2.63
vs Liverpool,27,27.4,37.7,29,319,2610,29.0,19,13,19,0,0,49,3,0.66,0.45,1.10,0.66,1.10,27.6,27.6,22.0,49.6,0.95,0.76,1.71,0.95,1.71
vs Manchester City,25,27.5,31.6,29,319,2610,29.0,18,15,17,1,1,51,3,0.62,0.52,1.14,0.59,1.10,21.2,20.4,15.9,36.3,0.73,0.55,1.28,0.70,1.25
vs Manchester Utd,25,27.7,47.1,29,319,2610,29.0,37,30,35,2,4,37,1,1.28,1.03,2.31,1.21,2.24,41.3,38.3,27.9,66.1,1.42,0.96,2.38,1.32,2.28
vs Newcastle Utd,29,27.4,60.2,29,319,2610,29.0,47,33,42,5,6,61,3,1.62,1.14,2.76,1.45,2.59,42.5,38.6,29.1,67.7,1.47,1.00,2.47,1.33,2.33
vs Norwich City,27,27.4,57.0,29,319,2610,29.0,61,43,53,8,10,52,2,2.10,1.48,3.59,1.83,3.31,55.5,48.0,36.2,84.2,1.91,1.25,3.16,1.65,2.90
vs Southampton,25,27.6,50.4,29,319,2610,29.0,44,35,42,2,2,56,1,1.52,1.21,2.72,1.45,2.66,41.4,40.1,32.0,72.1,1.43,1.10,2.53,1.38,2.49
vs Tottenham,25,27.7,48.3,29,319,2610,29.0,35,27,33,2,2,57,5,1.21,0.93,2.14,1.14,2.07,32.5,31.0,22.9,53.9,1.12,0.79,1.91,1.07,1.86
vs Watford,30,27.5,59.1,29,319,2610,29.0,52,38,49,3,4,54,1,1.79,1.31,3.10,1.69,3.00,49.6,46.5,36.2,82.8,1.71,1.25,2.96,1.60,2.85
vs West Ham,25,27.6,52.6,30,330,2700,30.0,38,28,36,2,3,37,2,1.27,0.93,2.20,1.20,2.13,38.6,36.3,26.3,62.6,1.29,0.88,2.16,1.21,2.09
vs Wolves,24,27.2,50.4,30,330,2700,30.0,25,14,20,5,5,76,3,0.83,0.47,1.30,0.67,1.13,42.9,39.1,28.8,67.9,1.43,0.96,2.39,1.30,2.26
